ID,Name,Age,Average,Predicted,Price,Position,Games,Drafted,Ignored
129,Cameron Guthrie,32,63.3,63.3,731000,mid,4,0,0
130,Harry Himmelberg,28,80.4,80.4,825000,def,23,0,0
131,Nick Haynes,32,71.5,71.5,690000,def,8,0,0
132,Bailey J. Williams,24,63.8,63.8,656000,ruck,23,0,0
133,Ned Reeves,26,52.3,52.3,512000,ruck,4,0,0
134,Tom Powell,22,78.7,78.7,807000,mid,23,0,0
135,Matt Flynn,27,61,61,622000,ruck,4,0,0
136,Jase Burgoyne,21,76.6,76.6,785000,mid,20,0,0
137,Hunter Clark,25,73.5,73.5,754000,mid,11,0,0
138,Patrick Dangerfield,34,79.6,79.6,816000,mid,14,0,0
139,Mitchell Hinge,26,82.7,82.7,849000,def,22,0,0
140,Callum Mills,27,69.8,69.8,759000,def,6,0,0
141,Steven May,32,75.8,75.8,778000,def,19,0,0
142,Gryan Miers,25,85.2,85.2,874000,fwd,23,0,0
143,Sam Berry,22,58.9,58.9,604000,mid,18,0,0
144,Rhys Stanley,34,65.6,65.6,673000,ruck,12,0,0
145,Harry Morrison,26,56.5,56.5,580000,mid,10,0,0
146,Conor Nash,26,73.9,73.9,758000,mid,23,0,0
147,Mason Wood,31,82.6,82.6,847000,fwd,18,0,0
148,Harry McKay,27,81.9,81.9,840000,fwd,20,0,0
149,Kieran Strachan,29,70,70,546000,ruck,2,0,0
150,Darcy Fort,31,69.5,69.5,542000,ruck,2,0,0
151,Angus Sheldrick,21,0,0,448000,mid,0,0,0
152,Kane Farrell,25,78.4,78.4,804000,def,22,0,0
153,Ryan Burton,27,65.6,65.6,673000,def,13,0,0
154,Bailey Williams,27,75.3,75.3,773000,mid,23,0,0
155,Jason Johannisen,32,83.8,83.8,834000,def,9,0,0
156,Tom De Koning,25,87.8,87.8,900000,ruck,17,0,0
157,Oliver Florent,26,76.5,76.5,785000,def,23,0,0
158,Shaun Mannagh,27,72.9,72.9,748000,fwd,10,0,0
159,Mitch Duncan,33,77.5,77.5,795000,def,20,0,0
160,Caleb Daniel,28,50.1,50.1,514000,fwd,15,0,0
161,Jeremy McGovern,32,80.4,80.4,825000,def,19,0,0
162,Jack Ross,24,63.7,63.7,668000,mid,7,0,0
163,Todd Goldstein,36,59.9,59.9,614000,ruck,14,0,0
164,Ivan Soldo,28,72.5,72.5,758000,ruck,8,0,0
165,Connor Macdonald,21,78,78,800000,fwd,23,0,0
166,Tom Atkins,29,71.3,71.3,732000,mid,20,0,0
167,Connor Idun,24,72.6,72.6,745000,def,23,0,0
168,Brent Daniels,25,85.9,85.9,881000,fwd,21,0,0
169,Elijah Hollands,22,74.9,74.9,769000,fwd,21,0,0
170,Jack Billings,29,63.6,63.6,652000,fwd,16,0,0
171,Wil Powell,25,74.7,74.7,767000,def,18,0,0
172,Jack Macrae,30,71.4,71.4,732000,fwd,18,0,0
173,Brayden Fiorini,27,73.8,73.8,758000,mid,12,0,0
174,Darcy Wilmot,21,75.1,75.1,771000,def,23,0,0
175,Izak Rankine,24,79.8,79.8,819000,fwd,15,0,0
176,Tanner Bruhn,22,70.5,70.5,723000,mid,15,0,0
177,John Noble,27,74.4,74.4,763000,def,20,0,0
178,James Peatling,24,61.8,61.8,634000,mid,17,0,0
179,Keidean Coleman,24,34,34,521000,def,1,0,0
180,Callan Ward,34,71.9,71.9,738000,mid,18,0,0
181,Jake Waterman,26,76.6,76.6,785000,fwd,20,0,0
182,Luke Jackson,23,78.6,78.6,807000,fwd,23,0,0
183,Patrick Lipinski,26,68.7,68.7,705000,fwd,23,0,0
184,Justin McInerney,24,79,79,811000,mid,17,0,0
185,Ben Keays,27,76.7,76.7,786000,fwd,23,0,0
186,Marc Pittonet,28,68.3,68.3,701000,ruck,13,0,0
187,Travis Boak,36,75,75,769000,mid,20,0,0
188,Will Phillips,22,59.4,59.4,609000,mid,11,0,0
189,Tom Sparrow,24,64.9,64.9,665000,mid,21,0,0
190,Jarman Impey,29,77.7,77.7,798000,def,23,0,0
191,Shai Bolton,26,73.5,73.5,754000,fwd,22,0,0
192,Jaime Uhr-Henry,21,0,0,230000,ruck,0,0,0
193,Liam Baker,26,78.5,78.5,805000,fwd,18,0,0
194,Miles Bergman,23,75.1,75.1,770000,def,23,0,0
195,Billy Dowling,20,68.1,68.1,678000,mid,9,0,0
196,Callum Wilkie,28,73.9,73.9,758000,def,23,0,0
197,Brayden Maynard,28,71,71,729000,def,23,0,0
198,Jake Bowey,22,62.5,62.5,641000,def,14,0,0
199,Oliver Dempsey,21,72.8,72.8,747000,mid,23,0,0
200,Jack Scrimshaw,26,67.6,67.6,694000,def,22,0,0
201,Heath Chapman,22,65.6,65.6,673000,def,16,0,0
202,Peter Ladhams,26,37,37,571000,fwd,1,0,0
203,Bradley Hill,31,74.2,74.2,762000,fwd,22,0,0
204,Lachlan Smith,19,0,0,230000,ruck,0,0,0
205,Ryley Sanders,19,63.9,63.9,656000,fwd,14,0,0
206,Max Heath,22,0,0,230000,fwd,0,0,0
207,Mate Colina,25,0,0,230000,ruck,0,0,0
208,Alex Dodson ,18,0,0,230000,ruck,0,0,0
209,Oliver Hayes-Brown,24,0,0,230000,ruck,0,0,0
210,Marcus Windhager,21,70.4,70.4,722000,mid,15,0,0
211,Taylor Goad,19,0,0,230000,ruck,0,0,0
212,Sam Clohesy,22,65.8,65.8,675000,mid,20,0,0
213,Jaeger O'Meara,30,62,62,636000,mid,22,0,0
214,Zac Bailey,25,69.1,69.1,709000,fwd,18,0,0
215,Harry Perryman,26,74,74,759000,def,19,0,0
216,Ryan Byrnes,23,66.6,66.6,683000,mid,15,0,0
217,William Green,19,0,0,230000,ruck,0,0,0
218,Adam Saad,30,70.9,70.9,727000,def,17,0,0
219,Dom Sheed,29,44.6,44.6,864000,mid,8,0,0
220,Rory Atkins,30,42,42,606000,def,3,0,0
221,Zak Jones,29,57.4,57.4,589000,mid,13,0,0
222,Oliver Hollands,20,62.4,62.4,640000,mid,22,0,0
223,Nick Bryan,23,71.4,71.4,623000,ruck,5,0,0
224,Toby Conway,21,75.2,75.2,656000,ruck,5,0,0
225,Josh Battle,26,73.7,73.7,757000,def,23,0,0
226,Luke Parker,32,65.9,65.9,839000,fwd,7,0,0
227,James Harmes,29,69.9,69.9,674000,fwd,8,0,0
228,Lachlan Bramble,26,68.7,68.7,704000,def,23,0,0
229,Max Knobel,20,0,0,230000,ruck,0,0,0
230,James Aish,29,65.2,65.2,668000,def,20,0,0
231,Will Verrall,20,0,0,230000,ruck,0,0,0
232,Caleb Poulter,22,62.7,62.7,586000,mid,7,0,0
233,Isaac Cumming,26,61.3,61.3,575000,mid,4,0,0
234,Toby Greene,31,73.2,73.2,751000,fwd,22,0,0
235,Blake Hardwick,27,64.7,64.7,664000,def,23,0,0
236,Josh Ward,21,56.2,56.2,577000,mid,10,0,0
237,Harley Reid,19,66.7,66.7,685000,mid,20,0,0
238,Matthew Johnson,21,62,62,636000,mid,19,0,0
239,Taylor Adams,31,67.5,67.5,693000,fwd,19,0,0
240,Wayne Milera,27,62.3,62.3,579000,def,3,0,0
241,Jack Graham,26,64.5,64.5,662000,fwd,14,0,0
242,Jack Ginnivan,22,73.6,73.6,755000,fwd,21,0,0
243,Mitch McGovern,30,69.4,69.4,712000,def,17,0,0
244,Lachie Weller,28,66.2,66.2,756000,def,6,0,0
245,Archie Perkins,22,65.2,65.2,667000,mid,18,0,0
246,Nathan O'Driscoll,22,50.5,50.5,441000,mid,2,0,0
247,Josh Treacy,22,75.9,75.9,778000,fwd,20,0,0
248,Logan Evans,19,69.6,69.6,714000,def,10,0,0
249,Paddy Dow,25,63.3,63.3,649000,mid,10,0,0
250,Luke Nankervis,21,64.5,64.5,662000,def,20,0,0
251,Bodhi Uwland,21,61.5,61.5,631000,def,21,0,0
252,Jeremy Howe,34,64.5,64.5,662000,def,19,0,0
253,Joel Freijah,19,61.1,61.1,627000,def,12,0,0
254,Coen Livingstone,19,0,0,230000,fwd,0,0,0
255,Harry Barnett,20,29,29,230000,ruck,1,0,0
256,Mark Blicavs,33,68.6,68.6,704000,mid,22,0,0
257,Alex Davies,22,66.1,66.1,618000,mid,7,0,0
258,Kyle Langford,28,70.6,70.6,724000,fwd,23,0,0
259,Will Graham,19,58.6,58.6,601000,mid,17,0,0
260,Aaron Naughton,25,60.2,60.2,618000,fwd,19,0,0
261,Tom Papley,28,68.3,68.3,701000,fwd,18,0,0
262,Ryan Lester,32,65.1,65.1,668000,def,23,0,0
263,Brodie Smith,32,64.1,64.1,657000,def,15,0,0
264,Mattaes Phillipou,20,63.9,63.9,656000,fwd,13,0,0
265,Darcy Tucker,27,68.5,68.5,703000,def,23,0,0
266,Sam Darcy,21,75.9,75.9,778000,fwd,20,0,0
267,Kysaiah Pickett,23,66,66,677000,fwd,21,0,0
